                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                0.92935,                0.48055,                 1.2271,                0.98069,                0.98113,                0.98549,                0.73771,                0.93696,                0.42801,                 1.3708,              0.0013466,              0.0013466,              0.0013466
                     35,                0.90151,                0.47048,                 1.1986,                0.98107,                0.97804,                0.98474,                0.70745,                 1.0158,                0.46184,                 1.4255,              0.0013268,              0.0013268,              0.0013268
                     36,                0.91262,                0.48068,                 1.2075,                0.97547,                0.98113,                0.98314,                0.74453,                 1.0102,                0.48643,                 1.3836,               0.001307,               0.001307,               0.001307
                     37,                 0.9333,                0.47925,                 1.2182,                0.97535,                0.96226,                0.98051,                0.71855,                 1.0237,                0.50321,                  1.433,              0.0012872,              0.0012872,              0.0012872
                     38,                0.97298,                0.49615,                 1.2509,                0.97392,                0.96226,                0.98319,                 0.7448,                 1.0063,                0.47521,                 1.3925,              0.0012674,              0.0012674,              0.0012674
                     39,                0.89822,                0.47776,                 1.2311,                0.98071,                0.95923,                0.97959,                0.72408,                0.96853,                 0.4947,                 1.3436,              0.0012476,              0.0012476,              0.0012476
                     40,                0.89199,                0.46306,                 1.1959,                0.98108,                0.97845,                0.98398,                0.72826,                 1.0211,                0.47652,                 1.4008,              0.0012278,              0.0012278,              0.0012278
                     41,                0.88539,                0.45789,                 1.2244,                0.98109,                0.97871,                0.97701,                0.73184,                0.96783,                0.43918,                 1.3856,               0.001208,               0.001208,               0.001208
                     42,                0.87486,                0.45081,                 1.1981,                0.81176,                0.73233,                0.83169,                0.57749,                 1.1667,                0.92798,                 1.6501,              0.0011882,              0.0011882,              0.0011882
                     43,                0.90135,                0.47697,                 1.2243,                0.98106,                0.97714,                0.97126,                0.72317,                0.98745,                0.46745,                 1.3885,              0.0011684,              0.0011684,              0.0011684
                     44,                0.89682,                0.45026,                  1.217,                0.96232,                0.96377,                0.97294,                0.72514,                0.96032,                0.45682,                 1.3452,              0.0011486,              0.0011486,              0.0011486
                     45,                0.87701,                0.45174,                 1.1921,                0.96282,                0.97727,                 0.9831,                0.74871,                0.91925,                0.41821,                 1.3293,              0.0011288,              0.0011288,              0.0011288
                     46,                0.87101,                0.44779,                 1.1954,                0.92962,                0.98113,                0.97512,                0.73293,                0.94224,                0.44992,                 1.3823,               0.001109,               0.001109,               0.001109
                     47,                0.87055,                0.46084,                 1.2211,                0.98068,                 0.9576,                0.97992,                0.72352,                0.97163,                0.47658,                 1.4235,              0.0010892,              0.0010892,              0.0010892
                     48,                 0.8332,                0.44122,                 1.1736,                0.97993,                0.96226,                0.97385,                0.71964,                0.96949,                0.45618,                 1.4024,              0.0010694,              0.0010694,              0.0010694
                     49,                0.86687,                0.44306,                 1.1867,                0.97532,                0.98113,                0.98578,                0.73303,                0.98777,                0.51553,                  1.394,              0.0010496,              0.0010496,              0.0010496
                     50,                0.89501,                0.46245,                 1.2148,                0.98107,                0.97778,                0.98531,                0.73423,                0.97716,                0.44214,                 1.4055,              0.0010298,              0.0010298,              0.0010298
                     51,                0.83888,                0.44623,                 1.1872,                0.98112,                0.98051,                0.98242,                0.74005,                0.95168,                 0.4449,                 1.3559,                0.00101,                0.00101,                0.00101
                     52,                0.86733,                0.44208,                 1.1798,                0.96257,                0.98113,                0.98286,                0.74209,                0.92583,                 0.4256,                  1.374,              0.0009902,              0.0009902,              0.0009902
                     53,                0.84959,                0.43078,                 1.1689,                0.98107,                0.97815,                0.98092,                0.74784,                0.93038,                0.41382,                 1.3675,              0.0009704,              0.0009704,              0.0009704
                     54,                0.83271,                0.42598,                 1.1656,                0.98108,                0.97861,                0.98029,                0.75103,                0.93281,                0.43476,                 1.3667,              0.0009506,              0.0009506,              0.0009506
                     55,                0.87443,                0.45314,                 1.1974,                0.97829,                0.98113,                0.97975,                0.72195,                0.94781,                0.41703,                 1.3876,              0.0009308,              0.0009308,              0.0009308
                     56,                0.84741,                0.43384,                 1.1696,                0.98109,                0.97903,                0.97872,                0.74309,                0.93896,                0.40452,                 1.3695,               0.000911,               0.000911,               0.000911
                     57,                0.82881,                0.42678,                 1.1663,                0.98095,                0.98113,                0.97875,                 0.7389,                0.97474,                 0.4206,                 1.3842,              0.0008912,              0.0008912,              0.0008912
                     58,                0.82447,                0.42621,                 1.1648,                  0.981,                0.97422,                0.97746,                0.75012,                0.94664,                0.41921,                 1.3823,              0.0008714,              0.0008714,              0.0008714
                     59,                0.84018,                0.41621,                 1.1508,                0.98107,                 0.9781,                0.98227,                0.74736,                0.89607,                0.39496,                 1.3395,              0.0008516,              0.0008516,              0.0008516
                     60,                 0.8138,                0.41896,                  1.149,                0.96241,                0.96623,                0.98192,                0.74855,                0.91961,                0.42985,                 1.3659,              0.0008318,              0.0008318,              0.0008318
                     61,                0.78128,                 0.4024,                 1.1648,                0.97815,                 0.9434,                0.96951,                0.75124,                 0.8922,                 0.4794,                 1.3582,               0.000812,               0.000812,               0.000812
                     62,                 0.7884,                 0.3916,                 1.1314,                0.95711,                0.98113,                 0.9841,                0.74669,                0.90295,                  0.414,                 1.3247,              0.0007922,              0.0007922,              0.0007922
                     63,                0.82403,                 0.4043,                 1.1553,                0.98106,                 0.9773,                0.98618,                0.75244,                0.88141,                0.39066,                 1.3075,              0.0007724,              0.0007724,              0.0007724
